"","COUNTRY","Agricultural.Land....","Land.Area.Km2.","Forested.Area....","X2023","Population","Import..US..Thousand.","landlocked","Avg_21_23","invasive_count"
"1","Afghanistan",58.1,"652,230","2.10",19101353833,38041754,1964683.49,"YES",16842244535,0
"2","Albania",43.1,"28,748","28.10",15278077447,2854191,3659914.42,"NO",17363579361.3333,8
"3","Algeria",17.4,"2,381,741","0.80",169988236398,43053054,38739387.28,"NO",175124453021.667,9
"4","Andorra",40,"468","34.00",3154057987,77142,112690.53,"YES",3277078710.33333,0
"5","Angola",47.5,"1,246,700","46.30",94635415870,31825295,33551533.93,"NO",89011489901.6667,28
"6","Antigua and Barbuda",20.5,"443","22.30",1727759259,97118,249075.42,"NO",1681960494,15
"7","Argentina",54.3,"2,780,400","9.80",449663446954,44938712,79164554.82,"NO",523220285583,321
"8","Armenia",58.9,"29,743","11.70",13672802158,2957731,3088285.4,"YES",15678998705,23
"9","Australia",48.2,"7,741,220","16.30",1392680589329,25766605,374899439.39,"NO",1540267468670.67,155
"10","Austria",32.4,"83,871","46.90",446314739528,8877067,192165929.16,"YES",466027736504,29
"11","Azerbaijan",57.7,"86,600","14.10",3.9207e+10,10023318,22114982.58,"YES",57584490196.3333,9
"12","Bahrain",11.1,"765","0.80",38574069149,1501635,16405097.54,"NO",40756097872.3333,5
"13","Bangladesh",70.6,"148,460","11.00",302571254131,167310838,53147978.24,"NO",393012352137,37
"14","Barbados",23.3,"430","14.70",5.209e+09,287025,280739.28,"NO",5230238171.66667,22
"15","Belarus",42,"207,600","42.60",63080457023,9466856,33571732.36,"YES",68515887247.6667,63
"16","Belgium",44.6,"30,528","22.60",529606710418,11484055,431548547.96,"NO",567520925058.333,0
"17","Belize",7,"22,966","59.70",1879613600,390353,371241.3,"NO",2398398478.66667,15
"18","Benin",33.3,"112,622","37.80",14390709095,11801151,1649829.65,"NO",16494179641.3333,8
"19","Bhutan",13.6,"38,394","72.50",2446674101,727145,369856.12,"YES",2493112714,12
"20","Bolivia",34.8,"1,098,581","50.30",40895322865,11513100,10571616.44,"YES",41457472354,74
